id,company_id,company_name,broad_sector,year,market_cap_crore,pe_ratio,pe_5yr_median,sector_pe_median,sector_pe_rank,pb_ratio,pb_5yr_median,sector_pb_median,ev_ebitda,ev_ebitda_5yr_median,sector_ev_ebitda_median,ev_ebitda_vs_sector_pct,ev_ebitda_flag,dividend_yield_pct,free_cash_flow_cr,fcf_yield_pct,fcf_yield_rank,flag,flag_rationale
MOTHERSON,MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,2024,146151.16,9.54,30.92,38.01,2.0,2.38,10.45,8.06,33.39,28.62,26.46,26.21,Above Sector,2.18,925.0,0.63,29.0,Discount,P/E is below 70% of the sector median
PIDILITIND,PIDILITIND,Pidilite Industries Ltd,Materials,2024,162274.18,36.12,38.11,55.62,3.0,12.3,3.26,9.21,5.36,24.87,26.58,-79.83,Normal,1.01,955.0,0.59,30.0,Discount,P/E is below 70% of the sector median
EICHERMOT,EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,2024,222391.83,15.62,18.91,38.01,5.0,13.61,9.33,8.06,19.29,25.09,26.46,-27.08,Normal,4.41,890.0,0.4,32.0,Discount,P/E is below 70% of the sector median
MARUTI,MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,2024,1503863.63,20.78,20.78,38.01,6.0,8.26,6.22,8.06,29.97,22.48,26.46,13.29,Normal,1.78,4936.0,0.33,33.0,Discount,P/E is below 70% of the sector median
IRFC,IRFC,Indian Railway Finance Corporation Ltd,Financials,2024,2618348.58,9.81,37.81,34.24,2.0,3.91,4.09,6.59,16.66,31.7,23.95,-30.44,Normal,2.82,7906.0,0.3,35.0,Discount,P/E is below 70% of the sector median
GAIL,GAIL,GAIL (India) Ltd,Energy,2024,1531867.57,25.84,30.66,44.92,4.0,9.54,6.52,6.0,33.07,33.07,24.86,33.02,Above Sector,0.31,4360.0,0.28,36.0,Discount,P/E is below 70% of the sector median
TATAPOWER,TATAPOWER,"Tata Power Company Ltd
",Energy,2024,1647269.48,14.5,24.7,44.92,1.0,3.48,3.48,6.0,12.02,14.32,24.86,-51.65,Normal,0.49,3569.0,0.22,38.0,Discount,P/E is below 70% of the sector median
TRENT,TRENT,Trent Ltd,Consumer Discretionary,2024,571322.04,8.65,65.94,38.01,1.0,11.82,11.82,8.06,34.65,13.28,26.46,30.98,Above Sector,3.46,841.0,0.15,44.0,Discount,P/E is below 70% of the sector median
TITAN,TITAN,"Titan Company Ltd
",Consumer Discretionary,2024,1793769.72,10.13,26.55,38.01,3.0,10.51,5.89,8.06,21.0,23.08,26.46,-20.62,Normal,3.1,1506.0,0.08,47.0,Discount,P/E is below 70% of the sector median
HAL,HAL,Hindustan Aeronautics Ltd,Industrials,2024,2643616.86,71.89,51.22,47.16,8.0,3.65,3.65,7.45,8.76,27.14,22.36,-60.83,Normal,2.77,1814.0,0.07,50.0,Caution,P/E is more than 1.5x the sector median
ABB,ABB,Abbott India Ltd,Industrials,2024,1536236.24,75.58,62.63,47.16,9.0,4.48,6.67,7.45,12.63,7.58,22.36,-43.53,Normal,0.96,1095.0,0.07,49.0,Caution,P/E is more than 1.5x the sector median
NHPC,NHPC,"NHPC Ltd
",Energy,2024,1740404.25,71.17,59.63,44.92,14.0,13.74,13.06,6.0,18.26,19.59,24.86,-26.55,Normal,1.68,970.0,0.06,55.0,Caution,P/E is more than 1.5x the sector median
BOSCHLTD,BOSCHLTD,Bosch Ltd,Consumer Discretionary,2024,2599556.05,58.43,31.28,38.01,10.0,6.47,6.04,8.06,16.07,18.2,26.46,-39.26,Normal,4.23,1536.0,0.06,54.0,Caution,P/E is more than 1.5x the sector median
SHREECEM,SHREECEM,Shree Cement Ltd,Materials,2024,3154358.33,25.87,32.7,55.62,1.0,1.21,6.72,9.21,26.58,24.53,26.58,0.0,Normal,3.2,1929.0,0.06,53.0,Discount,P/E is below 70% of the sector median
IRCTC,IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,2024,1258520.29,60.44,36.42,38.01,11.0,5.74,8.58,8.06,32.47,32.47,26.46,22.74,Above Sector,1.08,667.0,0.05,57.0,Caution,P/E is more than 1.5x the sector median
DRREDDY,DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,2024,2441803.28,11.73,13.03,47.06,1.0,10.19,7.54,7.2,14.56,16.33,24.67,-40.98,Normal,0.09,509.0,0.02,59.0,Discount,P/E is below 70% of the sector median
DMART,DMART,Avenue Supermarts Ltd,Consumer Discretionary,2024,3053088.97,72.53,37.82,38.01,13.0,11.71,11.71,8.06,36.84,27.62,26.46,39.26,Above Sector,1.94,278.0,0.01,62.0,Caution,P/E is more than 1.5x the sector median
ICICIPRULI,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,2024,1596987.55,20.83,36.03,34.24,7.0,12.38,4.53,6.59,22.57,12.92,23.95,-5.76,Normal,0.35,105.0,0.01,64.0,Discount,P/E is below 70% of the sector median
NAUKRI,NAUKRI,Info Edge (India) Ltd,Communication Services,2024,563824.44,32.88,36.89,48.33,1.0,8.33,8.91,7.3,11.87,29.69,25.79,-53.97,Normal,4.29,-150.0,-0.03,65.0,Discount,P/E is below 70% of the sector median
BEL,BEL,Bharat Electronics Ltd,Industrials,2024,1354781.06,17.89,52.67,47.16,1.0,9.22,7.89,7.45,23.14,25.88,22.36,3.47,Normal,0.76,-1265.0,-0.09,68.0,Discount,P/E is below 70% of the sector median
GODREJCP,GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,2024,1327797.2,33.59,40.79,50.95,1.0,8.07,5.01,8.07,23.55,17.68,17.19,37.0,Above Sector,3.09,-1365.0,-0.1,69.0,Discount,P/E is below 70% of the sector median
SBILIFE,SBILIFE,SBI Life Insurance Company Ltd,Financials,2024,886097.71,69.98,60.68,34.24,23.0,9.48,6.98,6.59,31.04,20.65,23.95,29.6,Above Sector,1.62,-2099.0,-0.24,70.0,Caution,P/E is more than 1.5x the sector median
M&M,M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,2024,4173085.48,14.22,34.84,38.01,4.0,0.81,13.53,8.06,29.08,22.42,26.46,9.92,Normal,2.37,-11245.0,-0.27,72.0,Discount,P/E is below 70% of the sector median
BHEL,BHEL,"Bharat Heavy Electricals Limited
",Industrials,2024,540053.85,29.8,31.13,47.16,2.0,11.43,9.5,7.45,21.59,34.44,22.36,-3.47,Normal,4.04,-2382.0,-0.44,73.0,Discount,P/E is below 70% of the sector median
INDUSINDBK,INDUSINDBK,IndusInd Bank Ltd,Financials,2024,1807433.12,8.99,51.73,34.24,1.0,3.7,2.2,6.59,28.79,28.79,23.95,20.21,Above Sector,1.42,-17468.0,-0.97,76.0,Discount,P/E is below 70% of the sector median
BANKBARODA,BANKBARODA,Bank of Baroda,Financials,2024,590971.02,16.89,67.24,34.24,5.0,4.15,5.71,6.59,24.7,18.25,23.95,3.13,Normal,2.62,-7559.0,-1.28,77.0,Discount,P/E is below 70% of the sector median
PNB,PNB,Punjab National Bank,Financials,2024,1825925.6,19.29,20.42,34.24,6.0,10.91,9.61,6.59,23.64,21.68,23.95,-1.29,Normal,1.32,-29445.0,-1.61,79.0,Discount,P/E is below 70% of the sector median
JSWENERGY,JSWENERGY,JSW Energy Ltd,Energy,2024,110870.53,24.79,36.57,44.92,3.0,9.88,3.09,6.0,35.95,28.05,24.86,44.61,Above Sector,1.25,-1963.0,-1.77,80.0,Discount,P/E is below 70% of the sector median
BAJFINANCE,BAJFINANCE,Bajaj Finance Ltd,Financials,2024,2473271.58,69.2,46.9,34.24,22.0,4.11,6.39,6.59,15.96,26.51,23.95,-33.36,Normal,0.27,-79931.0,-3.23,82.0,Caution,P/E is more than 1.5x the sector median
SHRIRAMFIN,SHRIRAMFIN,"Shriram Finance Ltd
",Financials,2024,868933.47,68.53,37.85,34.24,21.0,7.91,10.02,6.59,28.82,26.94,23.95,20.33,Above Sector,1.86,-31359.0,-3.61,83.0,Caution,P/E is more than 1.5x the sector median
CHOLAFIN,CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,2024,971931.96,16.79,33.3,34.24,4.0,10.36,10.36,6.59,13.52,13.92,23.95,-43.55,Normal,2.83,-38538.0,-3.97,84.0,Discount,P/E is below 70% of the sector median
BAJAJFINSV,BAJAJFINSV,Bajaj Finserv Ltd,Financials,2024,1905112.17,15.07,51.06,34.24,3.0,6.08,6.08,6.59,39.72,24.06,23.95,65.85,Above Sector,2.56,-79634.0,-4.18,85.0,Discount,P/E is below 70% of the sector median
GRASIM,GRASIM,Grasim Industries Ltd,Industrials,2024,478951.82,79.35,38.27,47.16,10.0,5.68,6.73,7.45,15.23,15.23,22.36,-31.9,Normal,0.98,-33833.0,-7.06,89.0,Caution,P/E is more than 1.5x the sector median
SBIN,SBIN,State Bank of India,Financials,2024,2400436.05,54.93,54.93,34.24,20.0,2.72,7.09,6.59,21.53,27.95,23.95,-10.1,Normal,0.42,,,,Caution,P/E is more than 1.5x the sector median
